~id,~label,d3:string,d2:string,d1:string,d0:string
gc_921,vertex,is_gc_921 returns True,"(K_{1,5},triangle)-free",LightGreen,+
gc_3,vertex,is_p4_brittle returns False,P_{4}-brittle,IndianRed,-
gc_544,vertex,,probe chordal,DarkGray,?
gc_753,vertex,Unknown to ISGCI,circular perfect,DarkGray,?
gc_292,vertex,Unknown to ISGCI,"<img alt=""cal P"" src=""images/calP.gif""/>_{3}-perfect",DarkGray,?
gc_339,vertex,,genus 1,DarkGray,?
gc_1366,vertex,Unknown to ISGCI,map,DarkGray,?
gc_724,vertex,NP-complete,rectangle visibility,DarkGray,?
gc_734,vertex,,partial 4-tree,DarkGray,?
gc_1206,vertex,,Laman,DarkGray,?
gc_1215,vertex,Unknown to ISGCI,Mycielski,DarkGray,?
gc_811,vertex,is_gc_811 returns False,"(P,star_{1,2,5})-free",IndianRed,-
gc_6,vertex,,P_{4}-comparability,DarkGray,?
gc_504,vertex,,partner-limited,DarkGray,?
gc_691,vertex,Unknown to ISGCI,upper domination perfect,DarkGray,?
gc_393,vertex,,co-Matula perfect,DarkGray,?
gc_924,vertex,is_gc_924 returns False,"(X_{172},triangle)-free",IndianRed,-
gc_350,vertex,,Welsh-Powell perfect,DarkGray,?
gc_483,vertex,Open,cliquewidth 4,DarkGray,?
gc_532,vertex,Unknown to ISGCI,Raspail,DarkGray,?
gc_646,vertex,Unknown to ISGCI,interval enumerable,DarkGray,?
gc_968,vertex,,"(S_{3},co(3K_{2}),co(E),odd-hole)-free",DarkGray,?
gc_948,vertex,Open,hereditary clique-Helly ∩ self-clique,DarkGray,?
gc_783,vertex,Unknown to ISGCI,graceful,DarkGray,?
gc_785,vertex,NP-complete,harmonious,DarkGray,?
gc_616,vertex,Unknown to ISGCI,irredundance perfect with ir(G)=2,DarkGray,?
gc_222,vertex,is_weakly_modular returns False,weakly modular,IndianRed,-
gc_256,vertex,,unigraph,DarkGray,?
gc_787,vertex,Unknown to ISGCI,probe comparability,DarkGray,?
gc_880,vertex,NP-complete,all-4-simplicial,DarkGray,?
gc_777,vertex,,cycle-bicolorable,DarkGray,?
gc_266,vertex,Unknown to ISGCI,perfectly contractile,DarkGray,?
gc_755,vertex,,co-biclique separable,DarkGray,?
gc_195,vertex,is_bigeodetic returns False,bigeodetic,IndianRed,-
gc_68,vertex,,bipartable,DarkGray,?
gc_1155,vertex,Unknown to ISGCI,circular trapezoid,DarkGray,?
gc_1154,vertex,Unknown to ISGCI,circle-trapezoid,DarkGray,?
gc_1052,vertex,Unknown to ISGCI,bounded cutwidth,DarkGray,?
gc_1053,vertex,Unknown to ISGCI,bounded degree,DarkGray,?
gc_1054,vertex,Unknown to ISGCI,bounded degree ∩ bounded treewidth,DarkGray,?
gc_470,vertex,Unknown to ISGCI,bounded treewidth,DarkGray,?
gc_992,vertex,Unknown to ISGCI,even-signable,DarkGray,?
gc_995,vertex,,strongly odd-signable,DarkGray,?
gc_733,vertex,NP-complete,linear arboricity <= 2,DarkGray,?
gc_296,vertex,Unknown to ISGCI,clique-chordal,DarkGray,?
gc_1157,vertex,Unknown to ISGCI,"circle-n-gon, fixed n",DarkGray,?
gc_1148,vertex,my_is_distance_regular returns False,distance regular,IndianRed,-
gc_1187,vertex,Unknown to ISGCI,walk regular,DarkGray,?
gc_1188,vertex,is_edge_regular returns True,edge regular,LightGreen,+
gc_1112,vertex,,equimatchable,DarkGray,?
gc_1369,vertex,Unknown to ISGCI,universally signable,DarkGray,?
gc_568,vertex,Unknown to ISGCI,weak dominating pair,DarkGray,?
gc_600,vertex,is_interval_regular returns False,interval regular,IndianRed,-
gc_595,vertex,,"partial k-tree, fixed k",DarkGray,?
gc_1099,vertex, successor of gc_1099 in exclusion graph,"k-regular, fixed k>= 3",IndianRed,-
gc_1105,vertex,is_regular_with_k_at_least_6 returns False,"k-regular, fixed k>= 6",IndianRed,-
gc_1358,vertex,Unknown to ISGCI,line perfect,DarkGray,?
gc_500,vertex,Unknown to ISGCI,"(p,q)-colorable",DarkGray,?
gc_1221,vertex,Unknown to ISGCI,"(p,q)-split",DarkGray,?
gc_277,vertex, successor of gc_277 in exclusion graph,unbreakable,IndianRed,-
gc_611,vertex,,p-tree,DarkGray,?
gc_488,vertex,Unknown to ISGCI,"(q,t)",DarkGray,?
gc_1059,vertex,GI-complete,self-complementary,DarkGray,?
gc_690,vertex,Unknown to ISGCI,upper irredundance perfect,DarkGray,?
